R	3.1813	1.6036	0.4113	1477010443200000	-0.0047	2.8999	-0.0471	0.9989
R	3.9252	1.6133	0.9574	1477010444000000	-0.1481	3.6848	-0.2940	0.9558
R	4.3848	1.6512	1.3449	1477010444800000	-0.4821	4.4094	-0.5225	0.8526
R	5.6386	1.7332	0.9692	1477010445600000	-0.9859	5.0282	-0.7181	0.6959
R	6.0842	1.8469	0.8503	1477010446400000	-1.6277	5.5023	-0.8686	0.4955
R	6.3279	2.0015	0.7630	1477010447200000	-2.3672	5.8018	-0.9646	0.2639
R	6.5374	2.0765	0.7270	1477010448000000	-3.1580	5.9080	-0.9999	0.0157
R	6.7111	2.2030	0.2597	1477010448800000	-3.9504	5.8143	-0.9724	-0.2334
R	7.1303	2.2741	0.3720	1477010449600000	-4.6946	5.5264	-0.8838	-0.4679
R	7.2588	2.3540	0.4706	1477010450400000	-5.3437	5.0625	-0.7396	-0.6730
R	7.1513	2.5099	-0.3972	1477010451200000	-5.8572	4.4517	-0.5490	-0.8358
R	7.6724	2.6091	-0.2226	1477010452000000	-6.2026	3.7324	-0.3239	-0.9461
R	7.0677	2.6992	-0.4371	1477010452800000	-6.3582	2.9498	-0.0785	-0.9969
R	6.5674	2.7871	-0.5015	1477010453600000	-6.3144	2.1531	0.1719	-0.9851
R	6.5651	2.9408	-0.2676	1477010454400000	-6.0738	1.3924	0.4115	-0.9114
R	5.7362	2.9860	-0.3150	1477010455200000	-5.6515	0.7153	0.6252	-0.7804
R	5.2308	3.1319	-0.2284	1477010456000000	-5.0742	0.1646	0.7997	-0.6004
R	4.4905	-3.1026	-0.8152	1477010456800000	-4.3780	-0.2253	0.9239	-0.3827
R	4.0867	-3.0117	-1.0641	1477010457600000	-3.6068	-0.4298	0.9900	-0.1409
R	3.3532	-3.0204	-0.8903	1477010458400000	-2.8089	-0.4361	0.9940	0.1097
R	2.4036	-3.0049	-1.0122	1477010459200000	-2.0345	-0.2437	0.9355	0.3534
R	1.4781	3.0573	-0.3625	1477010460000000	-1.3323	0.1352	0.8182	0.5750
R	1.2702	2.3806	0.3113	1477010460800000	-0.7464	0.6768	0.6495	0.7604
R	2.0191	1.7953	0.7464	1477010461600000	-0.3136	1.3471	0.4400	0.8980
R	2.5376	1.6534	0.6350	1477010462400000	-0.0611	2.1040	0.2028	0.9792
R	2.7681	1.5423	1.6517	1477010463200000	0.0000	2.9000	0.0157	0.9999
R	3.4812	1.5262	1.3675	1477010464000000	0.1186	3.6890	0.2639	0.9645
R	4.7363	1.4671	0.8989	1477010464800000	0.4297	4.4238	0.4955	0.8686
R	5.1124	1.4327	0.8246	1477010465600000	0.9138	5.0581	0.6959	0.7181
R	5.6587	1.3348	0.8999	1477010466400000	1.5404	5.5520	0.8527	0.5225
R	6.2995	1.1695	0.5499	1477010467200000	2.2702	5.8747	0.9558	0.2940
R	7.1878	1.1077	0.2918	1477010468000000	3.0573	6.0057	0.9989	0.0471
R	7.2185	1.0011	0.2003	1477010468800000	3.8522	5.9368	0.9792	-0.2028
R	7.3131	0.8954	0.0456	1477010469600000	4.6050	5.6724	0.8980	-0.4400
R	7.0048	0.7741	0.0316	1477010470400000	5.2685	5.2291	0.7604	-0.6495
R	7.1678	0.6379	-0.4672	1477010471200000	5.8008	4.6348	0.5750	-0.8182
R	7.1880	0.5855	-0.0412	1477010472000000	6.1686	3.9267	0.3535	-0.9355
R	6.9815	0.4778	-0.2741	1477010472800000	6.3488	3.1494	0.1097	-0.9940
R	6.4965	0.4264	-0.1933	1477010473600000	6.3300	2.3517	-0.1409	-0.9900
R	6.0178	0.2248	-0.5309	1477010474400000	6.1134	1.5838	-0.3827	-0.9239
R	5.7863	0.1517	-1.3014	1477010475200000	5.7127	0.8938	-0.6004	-0.7997
R	4.9984	0.0560	-1.3770	1477010476000000	5.1529	0.3252	-0.7804	-0.6252
R	4.5268	-0.0538	-0.6412	1477010476800000	4.4693	-0.0863	-0.9114	-0.4115
R	4.3896	-0.1159	-1.1547	1477010477600000	3.7049	-0.3149	-0.9851	-0.1719
R	2.7410	-0.1804	-1.4024	1477010478400000	2.9076	-0.3463	-0.9969	0.0785
R	1.9094	-0.0579	-0.4395	1477010479200000	2.1275	-0.1783	-0.9461	0.3239
R	1.5671	0.1017	-0.4916	1477010480000000	1.4138	0.1783	-0.8358	0.5490
R	1.1610	0.6682	-0.2365	1477010480800000	0.8111	0.7013	-0.6730	0.7396
R	1.5111	1.2994	0.5524	1477010481600000	0.3575	1.3576	-0.4679	0.8838
R	2.2557	1.5203	0.9683	1477010482400000	0.0813	2.1062	-0.2334	0.9724
R	2.9295	1.5849	0.8559	1477010483200000	0.0000	2.9000	0.0157	0.9999
